系所名稱,課程代碼,年級,課程名稱,學分數,老師名稱,課程時間
交管系 TCM,H5-058 H522500  [TCM2403],2,通訊網路,3  選修,陳文字,[5]5~7
交管系 TCM,H525000-Z5  [TCM],2,通識課程,2  必修,,[1]5~6
交管系 TCM,H525000-Z2  [TCM],2,通識課程,2  必修,,[1]7~8
交管系 TCM,H510030-Z  [TCM],2,體育（三）,0  必修,,[4]5~6
交管系 TCM,H525000-Z3  [TCM],3,通識課程,2  必修,,[4]5~6
交管系 TCM,H5-122 H531900  [TCM3302],3,智慧型運輸系統,3  選修,李威勳,[5]5~7
交管系 TCM,H5-123 H520201  [TCM3001],3,運輸經濟,3  必修,鄭永祥,[3]3~4 [5]2
交管系 TCM,H5-124 H534012  [TCM3011],3,作業研究,3  必修,戴佐敏,[2]3~4 [4]2
交管系 TCM,H5-125 H544801  [TCM2012],3,財務管理,3  必修,張瀞之,[2]2 [5]3~4
交管系 TCM,H5-126 H534200  [TCM3303],3,運輸風險與危機管理,3  選修,鄭祖睿,[3]6~8
交管系 TCM,H5-128 H542400  [TCM4401],3,電信經營與管理,3  選修,廖俊雄,[1]2~3 [3]2
交管系 TCM,H5-129 H543000  [TCM5301],3,交通流理論,3  選修,温谷琳,[3]6~8
交管系 TCM,H5-130 H535200  [TCM3403],3,通訊傳播與科技使用,3  選修,蔡欣怡,[3]6~8
交管系 TCM,H5-161 H521600  [TCM2002],4,運輸安全,3  必修,傅強,[2]6~8
交管系 TCM,H5-162 H531900  [TCM3302],4,智慧型運輸系統,3  選修,李威勳,[5]5~7
交管系 TCM,H5-163 H545800  [TCM4010],4,交通行政法規,3  選修,李光益,[4]7~9
交管系 TCM,H5-164 H543000  [TCM5301],4,交通流理論,3  選修,温谷琳,[3]6~8
交管系 TCM,H5-165 H535200  [TCM3403],4,通訊傳播與科技使用,3  選修,蔡欣怡,[3]6~8
交管系 TCM,H5-166 H530120  [TCM4001],4,專題研究（二）,2  選修,林珮珺*戴佐敏廖俊雄鄭永祥陳勁甫張瀞之李威勳沈宗緯鄭祖睿温谷琳,未定
交管系 TCM,H525000-Z4  [TCM],4,通識課程,2  必修,,[4]5~6
